French,English
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
bébé,baby
longtemps,long time
vont,will
pendant,while
aucune,any
savais,knew
étaient,were
attention,Warning
pourrais,could
affaire,case
donner,give
leurs,their
train,train
yeux,eyes
écoute,listen
trouve,find
premier,first
première,first
pouvoir,power
vieux,old
sois,be
tellement,so much
enfant,child
point,point
pardon,sorry
venez,come
devant,in front of
vers,towards
aujourd'hui,today
mari,husband
cause,cause
espère,hope
eau,water
parti,left
nouvelle,new
arrêter,Stop
dirait,would say
loin,far
jouer,to play
